,participant,block,taskID,stimulus_ID,stimulus_distractor,stimulus_congruency,response_ID,accuracy,rt
518,6006,2,spatial,L,R,I,L,1,547.36
519,6006,2,spatial,L,L,C,L,1,737.48
520,6006,2,spatial,R,L,I,R,1,435.68
521,6006,2,spatial,L,R,I,L,1,399.09
522,6006,2,spatial,R,R,C,R,1,651.66
523,6006,2,spatial,R,L,I,R,1,740.45
524,6006,2,spatial,L,L,C,L,1,368.46
525,6006,2,spatial,R,R,C,R,1,402.29
526,6006,2,spatial,L,R,I,L,1,404.92
527,6006,2,spatial,R,R,C,R,1,376.08
528,6006,2,spatial,L,R,I,L,1,331.71
529,6006,2,spatial,R,R,C,R,1,396.59
530,6006,2,spatial,L,R,I,L,1,352.32
531,6006,2,spatial,R,R,C,R,1,370.54
532,6006,2,spatial,L,R,I,L,1,427.33
533,6006,2,spatial,R,R,C,R,1,390.83
534,6006,2,spatial,L,R,I,L,1,440.03
535,6006,2,spatial,L,L,C,L,1,817.59
536,6006,2,spatial,R,R,C,R,1,508.19
537,6006,2,spatial,L,R,I,L,1,846.64
538,6006,2,spatial,R,R,C,R,1,537.41
539,6006,2,spatial,R,L,I,R,1,672.74
540,6006,2,spatial,L,L,C,L,1,370.99
541,6006,2,spatial,R,L,I,R,1,435.92
542,6006,2,spatial,L,L,C,L,1,430.5
543,6006,2,spatial,R,L,I,R,1,589.21
544,6006,2,spatial,L,R,I,L,1,451.31
